run_id,method,fraction,seed,n_train,epoch_ceiling,best_epoch,best_step,evals_ran,evals_possible,early_stopped,ceiling_hit,patience_evals,patience_epochs,evals_per_epoch,learning_rate,batch_size,precision,dev_accuracy,dev_f1_macro,dev_f1_from_curve,dev_reload_drift,test_accuracy,test_f1_macro,trainable_params,total_params,pct_trainable,train_runtime_s,train_samples_per_s,peak_gpu_mem_mb,saved_model_mb,best_model_kept,gpu,transformers,peft,torch,finished_utc,effective_batch,grad_accum_steps,resumed_from_step,wall_clock_comparable,reload_verified,reload_max_logit_drift
lora_frac0.05_seed13,lora,0.05,13,19072,8,7.0,8344,8,8,False,False,,,1,0.0002,16,fp16,0.774286895411327,0.7755491640100027,0.7755491640100027,0.0,0.7699693564862105,0.7706524698015004,887811,111507462,0.7962,847.4,180.13,1803.2,3.57,True,Tesla T4,5.15.0,0.20.0,2.11.0+cu128,2026-08-26T07:28:39Z,,,,,,
full_ft_frac0.05_seed21,full_ft,0.05,21,19072,8,2.0,2384,8,8,False,False,,,1,2e-05,16,fp16,0.7751136833402232,0.7756758601541973,0.7756758601541973,0.0,0.7746680286006129,0.7745868516390537,110619651,110619651,100.0,569.0,268.37,2709.7,442.51,False,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-04T18:47:53Z,16.0,1.0,0.0,True,True,0.0
lora_frac0.05_seed21,lora,0.05,21,19072,8,7.0,8344,8,8,False,False,,,1,0.0002,16,fp16,0.7734601074824308,0.7745259231017286,0.7745259231017286,0.0,0.7687436159346271,0.7693220995543127,887811,111507462,0.7962,602.2,253.51,1567.3,3.57,True,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-04T18:58:07Z,16.0,1.0,0.0,True,True,0.0
full_ft_frac0.05_seed33,full_ft,0.05,33,19072,8,4.0,4768,8,8,False,False,,,1,2e-05,16,fp16,0.763952046300124,0.7655408625509037,0.7655408625509037,0.0,0.7664964249233912,0.7677109924146132,110619651,110619651,100.0,569.6,268.14,2709.7,442.51,False,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-04T19:07:49Z,16.0,1.0,0.0,True,True,0.0
lora_frac0.05_seed33,lora,0.05,33,19072,8,8.0,9536,8,8,False,True,,,1,0.0002,16,fp16,0.7759404712691195,0.777186266121714,0.777186266121714,0.0,0.7677221654749745,0.7683188571823695,887811,111507462,0.7962,604.6,252.53,1567.3,3.57,True,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-04T19:18:29Z,16.0,1.0,0.0,True,True,0.0
full_ft_frac0.05_seed42,full_ft,0.05,42,19072,8,1.0,1192,8,8,False,False,,,1,2e-05,16,fp16,0.7656056221579165,0.7655700985384007,0.7655700985384007,0.0,0.7589376915219612,0.7583134867455424,110619651,110619651,100.0,1275.7,119.84,2419.5,442.51,False,Tesla T4,5.15.0,0.20.0,2.11.0+cu128,2026-08-26T05:24:38Z,,,,,,
lora_frac0.05_seed42,lora,0.05,42,19072,8,6.0,7152,8,8,False,False,,,1,0.0002,16,fp16,0.7713931376601901,0.7728670165200618,0.7728670165200618,0.0,0.7716036772216548,0.7728045760909809,887811,111507462,0.7962,884.3,172.62,1808.5,3.57,True,Tesla T4,5.15.0,0.20.0,2.11.0+cu128,2026-08-26T05:39:40Z,,,,,,
full_ft_frac0.1_seed7,full_ft,0.1,7,38144,8,4.0,9536,8,8,False,False,,,1,2e-05,16,fp16,0.7800744109136006,0.780877881918978,0.780877881918978,0.0,0.7824310520939735,0.7831150386957947,110619651,110619651,100.0,1110.8,274.85,2715.5,442.51,False,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T07:01:33Z,16.0,1.0,0.0,True,True,0.0
lora_frac0.1_seed7,lora,0.1,7,38144,8,3.0,7152,8,8,False,False,,,1,0.0002,16,fp16,0.7837949565936337,0.7845688153687305,0.7845688153687305,0.0,0.7903983656792646,0.7906352993374921,887811,111507462,0.7962,1185.6,257.47,1571.5,3.57,True,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T07:21:30Z,16.0,1.0,0.0,True,True,0.0
full_ft_frac0.1_seed13,full_ft,0.1,13,38144,8,1.0,2384,8,8,False,False,,,1,2e-05,16,fp16,0.7738735014468788,0.774622530822762,0.774622530822762,0.0,0.7805924412665985,0.7804750913277972,110619651,110619651,100.0,1107.5,275.67,2715.5,442.51,False,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T07:40:10Z,16.0,1.0,0.0,True,True,0.0
lora_frac0.1_seed13,lora,0.1,13,38144,8,6.0,14304,8,8,False,False,,,1,0.0002,16,fp16,0.7904092600248036,0.7906894599120234,0.7906894599120234,0.0,0.7832482124616956,0.7833949394993871,887811,111507462,0.7962,1194.0,255.66,1571.5,3.57,True,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T08:00:16Z,16.0,1.0,0.0,True,True,0.0
full_ft_frac0.1_seed21,full_ft,0.1,21,38144,8,6.0,14304,8,8,False,False,,,1,2e-05,16,fp16,0.785035138486978,0.7855183027028231,0.7855183027028231,0.0,0.785291113381001,0.785552367476956,110619651,110619651,100.0,1098.3,278.0,2709.7,442.51,False,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T16:20:41Z,16.0,1.0,0.0,True,True,0.0
lora_frac0.1_seed21,lora,0.1,21,38144,8,5.0,11920,8,8,False,False,,,1,0.0002,16,fp16,0.7833815626291856,0.7845554036887376,0.7845554036887376,0.0,0.7795709908069459,0.7798389142651386,887811,111507462,0.7962,1169.4,261.04,1571.5,3.57,True,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T16:40:22Z,16.0,1.0,0.0,True,True,0.0
full_ft_frac0.1_seed33,full_ft,0.1,33,38144,8,2.0,4768,8,8,False,False,,,1,2e-05,16,fp16,0.7809011988424969,0.7823937298288852,0.7823937298288852,0.0,0.7869254341164453,0.7878230381985523,110619651,110619651,100.0,1096.0,278.57,2715.5,442.51,False,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T16:58:51Z,16.0,1.0,0.0,True,True,0.0
lora_frac0.1_seed33,lora,0.1,33,38144,8,6.0,14304,8,8,False,False,,,1,0.0002,16,fp16,0.785035138486978,0.7852954228235834,0.7852954228235834,0.0,0.7834525025536262,0.7833023621502426,887811,111507462,0.7962,1175.6,259.66,1571.5,3.57,True,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T17:18:38Z,16.0,1.0,0.0,True,True,0.0
full_ft_frac0.1_seed42,full_ft,0.1,42,38144,8,2.0,4768,8,8,False,False,,,1,2e-05,16,fp16,0.7755270773046713,0.7764931943990702,0.7764931943990702,0.0,0.7834525025536262,0.7838945202154138,110619651,110619651,100.0,1095.7,278.65,2709.7,442.51,False,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T06:22:57Z,16.0,1.0,0.0,True,True,0.0
lora_frac0.1_seed42,lora,0.1,42,38144,8,4.0,9536,8,8,False,False,,,1,0.0002,16,fp16,0.7833815626291856,0.7839240888757338,0.7839240888757338,0.0,0.7881511746680286,0.7885394073216885,887811,111507462,0.7962,1182.4,258.16,1571.5,3.57,True,NVIDIA A100-SXM4-40GB,4.54.1,0.14.0,2.11.0+cu128,2026-09-05T06:42:50Z,16.0,1.0,0.0,True,True,0.0
