run_id,method,fraction,seed,gpu,transformers,peft,torch,best_epoch,dev_f1_macro,test_accuracy,test_f1_macro
full_ft_frac0.01_seed42,full_ft,0.01,42,Tesla T4,5.15.0,0.20.0,2.11.0+cu128,5,0.7164,0.7218,0.7235
lora_frac0.01_seed42,lora,0.01,42,Tesla T4,5.15.0,0.20.0,2.11.0+cu128,7,0.7193,0.7218,0.7222
full_ft_frac0.05_seed21,full_ft,0.05,21,RTX 5060,5.16.1,0.20.0,2.13.0+cu132,2,0.7682,0.7704,0.7707
full_ft_frac0.05_seed33,full_ft,0.05,33,RTX 5060,5.16.1,0.20.0,2.13.0+cu132,3,0.7621,0.7726,0.7738
lora_frac0.05_seed21,lora,0.05,21,RTX 5060,5.16.1,0.20.0,2.13.0+cu132,6,0.7705,0.7618,0.7625
lora_frac0.05_seed33,lora,0.05,33,RTX 5060,5.16.1,0.20.0,2.13.0+cu132,6,0.7744,0.7700,0.7703
